,Question,Focus (Drug),Question Type
296,in how much temp bcg vaccine should store,bcg vaccine,Storage and disposal
297,how can biotin effect my blood test,biotin,Side effects
300,how to give diazepam rectal gel,diazepam gel,Usage
301,is there an antacid malox?,malox,Information
302,what is pepsin,pepsin,Information
303,do i take over the counter calciun with alendronate?,calcium and alendronate,Interaction
304,if i am allergic to sufa can i take glipizide?,glipizide,Contraindication
305,what color is phenytoin,phenytoin,Appearance
306,what color is phenytoin,phenytoin,Appearance
307,what color is phenytoin,phenytoin,Appearance
308,what color is phenytoin,phenytoin,Appearance
310,what is xanax,xanax,Information
311,how long should you use anti inflammatory gel,anti inflammatory gel,Usage/duration
312,what does hydro coding acet 5-325,hydrocodone + acetaminophen,Information
314,what do percocets look like,percocet,Appearance
316,how will i feel when taking memantine tablets,memantine,Side effects
318,blood thinner pills how to use them safely,blood thinner pills,Usage
319,what is coumadin,coumadin,Information
322,how long can megestrol be taken?,megestrol,Usage/duration
324,can you use fluorouracil past expiration date?,fluorouracil,Storage and disposal
325,what is usual infusion time for cetuximab injecetion,cetuximab,Usage
326,what is streptomycin,streptomycin,Information
327,what is the drug to drug interation for luvox and quillivant,Luvox + Quillivant,Interaction
328,"albuterol portable ""nebulizer?"" microtia vibrating mesh nebulizing ""system.""",albuterol nebulizers,Information
331,what drugs contain in testerone injection,testosterone injection,Information
332,how to take statins,statins,Usage
334,is it nessasary to ween off of cymbalta before starting effexor?,Cymbalta and Effexor,Interaction
335,what do steroids do to the brain,steroids,Side effects
336,is pramoxine a nsaid?,pramoxine,Information
339,is peppermint oil safe in mouthwash?,peppermint oil,Side effects
340,how to inject pills morphine,morphine,Usage
341,metoclopramide how supplied,metoclopramide,Information
342,metoclopramide how supplied,metoclopramide,Information
343,metoclopramide how supplied,metoclopramide,Information
344,metoclopramide how supplied,metoclopramide,Information
345,"why finasteride is not allowed by prostate ""cancer?""",finasteride,Contraindication
346,when teeth have been treated how lon after do yohave to wait to have zoledronic acid injection,zoledronic acid,Contraindication
347,are there antibiotics for cold symtoms?,antibiotics,Indication
348,how many years will the viagra pill be potent,Viagra,Storage and disposal
350,what drug reverses the effect of heparin,heparin,Overdose
352,does enalaprilat is used for treat stroke?,enalaprilat,Indication
353,how to group of mebendazole,mebendazole,Information
354,why did my doctor give me levetiracetam what is use for,levetiracetam,Indication
355,what is divalproex,divalproex,Information
356,what is divalproex,divalproex,Information
357,what medicines should not be taken with gabapentine,gabapentin,Interaction
362,show me the stages of oxycodone 15 milligram hcl,oxycodone,Information
363,what is asa ec,ASA EC,Information
364,glucosamine make glacoma worst?,glucosamine,Side effects
366,how long does polyethylene glycol stay good,polyethylene glycol,Storage and disposal
367,what does bumetanide pill look like,bumetanide,Appearance
368,what does bumetanide pill look like,bumetanide,Appearance
369,what does bumetanide pill look like,bumetanide,Appearance
372,can i have allergie test when taking methylprednisolone?,methylprednisolone,Side effects
375,foods to avoid when taking metformin,metformin,Interaction
379,what is amphetamine,amphetamine,Information
380,what valacyclovir looks like in color shape,valacyclovir,Appearance
381,what valacyclovir looks like in color shape,valacyclovir,Appearance
382,what valacyclovir looks like in color shape,valacyclovir,Appearance
383,what valacyclovir looks like in color shape,valacyclovir,Appearance
384,"pantoprazole can it be taken ""plavix?""",pantoprazole and Plavix,Interaction
385,what the interaction between trimethoprim blood pressure medication,trimethoprim and blood pressure medication,Interaction
386,what antidepressants are best for someone with a heart arrhythmia,antidepressants,Indication
389,what does vitamin a prevent,vitamin A,Indication
391,how is marijuana taken,marijuana,Usage
392,what is supartz fx for knee,Supartz FX,Information
395,famotidine 10 mg?,famotidine 10 mg,Information
396,"is peppermint oil safe in ""mouth wash?""",peppermint oil,Side effects
397,can alprazolam lower blood pressure?,alprazolam,Indication
398,what side effects would magnesium have on a woman taking dilantin?,magnesium and Dilantin,Interaction
399,what is acetylcholine how does it work,acetylcholine,Information
401,what are tne side effects of carprofen,carprofen,Side effects
402,lansoprazole long term use?,lansoprazole,Usage/duration
403,what is efudex?,Efudex,Information
404,what medications can induce hypo pigmentation of skin?,drugs that cause hypopigmentation,Side effects
405,does marijuana use lead to negative health outcomes?,marijuana,Side effects
407,what is the side effects of invokana,Invokana,Side effects
408,how long after teeth treatment can you start zoledronic acid infection,zoledronic acid,Contraindication
409,what are steroids,steroids,Information
410,what's the smell of marijuana,marijuana,Information
411,how long do you leave bimatoprost ophthalmic,bimatoprost ophthalmic,Usage
412,what is dopamine,dopamine,Information
413,how to use an epinephrine pen,epinephrine pen,Usage
414,how to reconstitute cefazolin,cefazolin,Usage
415,what is actonel prescribed for?,Actonel,Indication
416,brimonidine interaction with herbal supplements?,brimonidine,Interaction
417,"do i take over the counter calcium with ""alendronate?""",calcium and alendronate,Interaction
419,what is prevnar >65?,Prevnar,Information
420,where yo get tetanus shots,tetanus shot,Information
421,where does marijuana come from,marijuana,Information
423,"for a ""rinse,"" how many ""cc"" should be ""used?f"" lidocaine lidocaine used",lidocaine rinse,Usage
426,what does the pill oxybutynin look like,oxybutynin,Appearance
428,what pills are not compatible with hydrocodone,hydrocodone,Interaction
432,does marijuana use lead to negative health outcomes?,marijuana,Side effects
433,blood pressure when on eliquis,Eliquis,Side effects
434,what do i mix albuterol sulfate inhalation solution with in my nebulizer?,albuterol sulfate inhalation solution,Usage
435,what color metoprolol,metoprolol,Appearance
437,what ppis this medication for simvastatin,"simvastatin, PPI",Interaction
438,how to give insulin,insulin,Usage
442,will citalopram exacerbate heart arrhythmias?,citalopram,Side effects
443,what does marijuana look like,marijuana,Appearance
445,"what is an esi shot in the ""back?"" epidural steroids shot in the ""back?""",epidural steroid injection (ESI),Information
446,what is medication for singular 10 mg.,Singulair,Indication
447,"diclofenac sodium, 75 mg. how much is to much",diclofenac sodium,Overdose
448,what upis this medication for simvastatin,simvastatin,unanswerable
449,"any ""side effects"" when stop taking clopidogrel",clopidogrel,Stopping/side effects
450,can hormonal contraceptives be used for medical reasons?,hormonal contraceptives,Indication
452,what is nicoderm,Nicoderm,Information
454,what is fluoride,fluoride,Information
457,is it safe to add peppermint essential oil in mouthwash?,peppermint oil,Side effects
458,how to identify clonidine tablets,clonidine,Appearance
459,enoxaparin shot admin they injected into my kidney what will i do,enoxaparin shot,Information
460,what is marijuana,marijuana,Information
463,metformin after dinner and bed time?,metformin,Usage
464,what is cortisol,cortisol,Information
465,effects of salt of epson to diabetes?,Epsom salt,Contraindication
468,what is prochlorperazine,prochlorperazine,Information
469,what does valacyclovir 1gm cure?,valacyclovir,Indication
472,is it safe to take toradol when breast feeding,toradol,Usage/special populations
475,what is contraindication of carbamazepine,carbamazepine,Contraindication
476,what is docusate sodium,docusate sodium,Information
477,what valacyclovir looks like,valacyclovir,Appearance
478,what is insulin glucagon,glucagon,Information
481,"why ""shouldn't"" i take gemfibrozil while taking lovastatin?",gemfibrozil; lovastatin,Interaction
482,prevnar >65?,prevnar,Indication
483,how is cyanocobalamin adminitsered,cyanocobalamin,Usage
485,what is beta vulgaris,beta vulgaris,Information
489,what medications can you not take with grapefruit,grapefruit,Interaction
492,what is vancomycin,vancomycin,Information
494,amiodarone for afibwhat are side effects,amiodarone,Side effects
495,"are you mentally ""i'll"" when you ""take fluoxetine?""",fluoxetine,Indication
496,how to use lantus solostar insulin pen,lantus solostar,Usage
501,what class is diazepam,diazepam,Information
502,is estradiol transdermal patch bio-identical estrogen?,estradiol transdermal patch; estrogen,Information
505,what does prednisone do to the body,prednisone,Side effects
506,how to prescribe fluocinonide .05% gel,fluocinonide .05% gel,Usage
507,what to do with hydrogen peroxide poisoning,hydrogen peroxide,Overdose
511,how long are you protected after taking the hep b vaccine,hepatitits B vaccine,Time/effectiveness
512,how you use for paracetamol,Acetaminophen,Usage
514,"problems when stopping metformin, hair loss?",metformin,Stopping/side effects
515,what is diclofenac sodium topical gel used for,diclofenac sodium topical gel,Indication
516,what is rate for iv infusion cilastatin/imipenem,cilastatin/imipenem,Usage
517,what is a beta blocker,beta blocker,Information
518,marijuana is what schedule drug,marijuana,Information
520,how does cocaine i effect the nervous system,cocaine,Side effects
521,"are you able to take guaifenesin if you have a heart ""transplant?""",guaifenesin,Contraindication
522,how does marijuana get into a persons body,marijuana,Usage
523,can i took minocycline for acne when i have kidney stone,minocycline,Contraindication
524,what is amlodipine ?,amlodipine,Information
527,what is the medication riva-clonazepam,RIVA-CLONAZEPAM (clonazepam),Information
532,if diclofenac is instilled in the wrong eye what happens,diclofenac,Usage
533,how other inject cortisone to the knee,cortisone,Information
534,cbd from marijuana to treat what,cbd marijuana,Indication
535,how long will benzonatate last on the shelf,benzonatate,Storage and disposal
536,tretinoin medication treats what disorder,tretinoin,Indication
538,what is clotrimazole betamethasone dipropionate cream,CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE,Information
539,what is triamcinolone acetonide used for,triamcinolone acetonide,Indication
540,what is benzodiazepines,benzodiazepines,Information
541,whats zithromax,zithromax,Information
546,how much gravol to kill you,Dimenhydrinate,Overdose
547,what are the side effects and long term consequences of using nicotine,nicotine,Side effects
548,what are the side effects and long term consequences of using nicotine,nicotine,Long term consequences
549,how is nicotine taken,nicotine,Information
550,brinzolamide is brimodine?,brinzolamide/brimodine,Information
551,what does take drug with food mean?,drug & food,Information
557,heroin mixed with fentanyl what are the symptoms of an overdose,fentanyl,Overdose
558,heroin mixed with fentanyl what are the symptoms of an overdose,heroin,Overdose
559,heroin mixed with fentanyl what are the symptoms of an overdose,"heroin, fentanyl",Interaction
560,is pramipexole addictive?,pramipexole,Side effects
562,how long will the cyanocobalamin stay good,cyanocobalamin,Storage and disposal
564,celebrex caps 200 mg what is it for,celebrex,Indication
566,what does vicodin look like,vicodin,Appearance
570,what is xifaxan used for,xifaxan,Indication
571,why synthroid is interfered by calcium,"synthroid, calcium",Interaction
572,what happens when you mix cymbalta with muscle relaxes,"cymbalta, muscle relaxants",Interaction
574,can i take vitamins with rasagiline?,"rasagiline, vitamins",Interaction
575,how to take clotrimazole,clotrimazole,Usage
576,how to apply clonidine patch on chest,clonidine,Usage
577,do patients get better medication deposition when using a spacer?,spacer,Information
578,what color is the clonazepam,clonazepam,Appearance
579,how 9is cyanocobalamin adminitsered,cyanocobalamin,Usage
581,i need to know how to use this medication ultibro,ultibro,Usage
584,show me omeprazole,omeprazole,Appearance
585,what is u02 medicine,u02,Appearance
588,what size bottle does latanoprost ophthalmic come in,latanoprost ophthalmic,Storage and disposal
589,how is bcg vaccine stored,bsg vaccine,Storage and disposal
590,what is shingrix (rzv) recombinant vaccine,shingrix,Information
593,how often can a prescription of fentanyl be called in,fentanyl,Usage
595,"how should i dilute ceftriaxone ""infection?""",ceftriaxone,Usage
598,how can i split a 3mg or 4mg waefin pill so i can get a 2.5mg pill,warfarin,Usage
601,ok to use expired lidocaine patches??,lidocaine,Storage and disposal
603,why take simvastatin,simvastatin,Indication
604,what is the medication thera tab used to treat?,Thera-Tabs,Indication
606,what spices can be used while on warfarin,warfarin; spices,Interaction
607,how do steroids effect the digestive system,steroids,Side effects
608,how do steroids effect the digestive system,steroids,Side effects
610,what should i do if i just started taking an antibiotic and i am experiencing diahreea,antibiotics,Side effects
613,"trospium chloride in patients with neurogenic detrusor ""over activity:"" is dose titration of benefit to the ""patients?""",trospium chloride,Usage
614,what is the purpose or desired effect of aspirin,aspirin,Indication
615,qvar 40mcg what is it doe,QVAR,Indication
617,what is the effect of eliquis and cialis,eliquis; cialis,Interaction
618,jalyn 0.5-0.4 mg capsule?,jalyn,Information
619,topiramate?,topiramate,Information
620,"show spironolactone 30mg ""tab/accord"" healthcare",spironolactone,Appearance
622,exercise restrictions with taking moxifloxacin?,moxifloxacin,Usage
623,what are fat soluable vitamins.,fat soluble vitamins,Information
624,vaccine when pregnant,vaccination,Information
626,pneumonia vaccine is good for how long?,Pneumococcal Vaccines,Usage/duration
627,pneumonia vaccine is good for how long?,Pneumococcal Vaccines,Storage and disposal
628,how often should adult take pneumonia vaccine,Pneumococcal Vaccines,Usage/duration
630,what happens if voiting happens after taking a medication,vomiting of medication,Information
632,prevnar >65what is this vaccine used for?,prevnar,Indication
633,what is clotrimazole and betamethasone dipropionage cream,clotrimazole and betamethasone dipropionate,Information
634,levodopa carbidopa what will these drugs do to me if i take alcohol,llevodopa and carbidopa; alcohol,Interaction
639,what is the expiration time for fluorouracil topical cream,fluorouracil cream,Storage and disposal
641,what medications could cause excessive hair growth,drugs that cause hirsutism,Side effects
642,what is formoterol,formoterol,Information
643,what painkillers can i take when taking rivaroxaban,"rivaroxaban, painkillers",Interaction
646,what types of steroids shots are there,steroid injections,Information
647,what are some side effects nicoderm,nicoderm,Side effects
648,warfarin and cabbage?,warfarin; cabbage,Interaction
650,rosuvastatin calcium what are the side effects,rosuvastatin,Side effects
651,what is the protocol for adding insulin for type2 diabetics,insulin,Usage
653,what is insuline and glucagon,glucagon & insulin,Information
657,can you take ultram with ibuprofen?,ultram ; ibuprofen,Interaction
658,is herceptin a chemo drug??,herceptin,Information
659,bupropion hcl 300mg is good for what?,bupropion hcl 300mg,Indication
660,td vaccine (90714)what is a tad vaccine,td vaccine,Information
661,what size syringe to use for testosterone inject,testosterone injection,Usage
662,how much weight gain with carvedilol,carvedilol,Side effects
663,is dicyclomine good for heartburn?,dicyclomine,Indication
664,what are iron injections,iron injections,Information
667,when taking plavix and xarelto blood thinners is it safe to take dilaudid for pain,"plavix, xarelto,  dilaudid",Interaction
668,is erythromycin ophthalmic ointment good for inflamed eyelids?,erythromycin ointment,Indication
669,how should i dilute ceftriaxone injection?,ceftriaxone injection,Usage
670,symptoms from taking multiple doses of lasix 40 mg per dayproblems with taking lasix 40mg twice daily ?,lasix,Side effects
671,how long for allergic reaction after using nivolumab,nivolumab,Side effects/time
672,where does fluorouracil come from,fluorouracil,Information
673,where does fluorouracil come from,fluorouracil,Manufacturer
676,what is marijuana?,marijuana,Information
677,how is marijuana used,marijuana,Indication
678,how is tocilizumab administered,tocilizumab,Usage
679,what is diclofenac ointment used for,diclofenac,Indication
680,cephalexin is for what sexual diseases,cephalexin,Indication
681,what is terfenadine,terfenadine,Information
682,what is bisolvon,bisolvon,Information
684,what are the side effects of taking the two medication amlodipine metoprolol together,amlodipine; metoprolol,Interaction
687,why am i so cold taking bystolic b p med,bystolic,Side effects
689,is it alright to use fluticasone when using oxygen,"fluticasone, oxygen",Interaction
