Unnamed: 0,Question,Focus (Drug),Question Type,original_drug
199,how often should you get a zoster vaccine,Cefotaxime,Dose/time,Herpes zoster vaccine
200,what insulin can be mixed with glargine,Nitrofurantoin,Combination,"Glargine, Insulin"
201,what is Cefixime used for,Cefixime,Indication,Naproxen
204,what is Fosfomycin used for,Fosfomycin,Indication,Aldactazide
206,how to use Nitrofurantoin oral inhalation demonstration video,Nitrofurantoin,Usage,Albuterol
208,why is Clarithromycin prescribed,Clarithromycin,Indication,Pyridostigmine
210,what is brand name of acetaminophen,Cefotaxime,Brand names,"Acetaminophen, Codeine Phosphate"
214,Fosfomycin and depression?,Fosfomycin,Side effects,Norvasc
216,how often zoster zoster vaccine needs to be taken,Ciprofloxacin,Dose/time,Herpes zoster vaccine
217,what is Levofloxacin,Levofloxacin,Information,Bioflavonoid
218,what are the symptoms of a human exposed to Doxycycline,Doxycycline,Side effects,Boric Acid Powder
223,how long it takes for withdrawals to go away on Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Information,Oxycodone
225,seniors and Amoxicillin?,Amoxicillin,Usage,premarin
226,can Cefixime products be used with other over-the-counter (otc) or prescription medications?,Cefixime,Interaction,mucinex fast-max
229,what is the side effect of bp medicine on brain?,Azithromycin,Side effects,blood pressure medicine
230,Cefuroxime 40mcg what is it for,Cefuroxime,Indication,qvar
231,"Trimethoprim-sulfamethoxazole ""patch,"" what if ""doesn't"" stick well",Trimethoprim-sulfamethoxazole,Usage,fentanyl
232,what size pill is Levofloxacin,Levofloxacin,Appearance,risedronate
236,hyptotension caused by Clarithromycin?,Clarithromycin,Side effects,lexapro
238,Cefixime tablets 10 mg is for what purpose,Cefixime,Indication,dydrogesterone
241,when is the best tme to take Nitrofurantoin tab.,Nitrofurantoin,Usage,magnesium citrate
242,why did my doctor give me Azithromycin,Azithromycin,Indication,levetiracetam
243,Cefotaxime made by unichem is it safe?,Cefotaxime,Side effects,hydrochlorothiazide
244,how to use Amoxicillin,Amoxicillin,Usage,spiriva
246,what exactly is Fosfomycin,Fosfomycin,Information,butalbital
247,Ciprofloxacin over counter?,Ciprofloxacin,Information,testosterone
248,what are Doxycycline,Doxycycline,Information,beta blockers
249,is Cefuroxime a treament for cor pulmonale?,Cefuroxime,Indication,Viagra
250,is Trimethoprim-sulfamethoxazole the only diuretic drug for fluid build up in heart failure patients?,Trimethoprim-sulfamethoxazole,Indication,Lasix
251,is lasix the only Cefuroxime in heart failure patients?,Cefuroxime,Indication,diuretic drug for fluid build up
252,what can i do if unusual bruising appears after injecting Nitrofurantoin,Nitrofurantoin,Side effects,enoxaparin
254,will anti viral drugs activate my angio edema condition?,Doxycycline,Side effects,antiviral drugs
255,what is the length of Azithromycin treatment,Azithromycin,Usage/duration,entecavir
257,are tobacco and Levofloxacin products addictive?,Levofloxacin,Side effects,nicotine
258,how does Clarithromycin affect creatine,Clarithromycin,Side effects,Sutent
261,how dangerous is cutting Ciprofloxacin cc tablets,Ciprofloxacin,Usage,nifedipine ER
264,how to administer Amoxicillin,Amoxicillin,Usage,insulin
267,can spironolactone e used when talking furosemide,Fosfomycin,Interaction,spironolactone + furosemide
268,how long should i take Cefotaxime,Cefotaxime,Usage/duration,dutasteride
271,Cefixime is what schedule drug,Cefixime,Information,Tudorza Pressair
272,should metoprolol and lexapro be taken together?,Amoxicillin,Interaction,metoprolol + Lexapro
273,what shape is the Azithromycin pill,Azithromycin,Appearance,amlodipine
277,what does Cefotaxime look like,Cefotaxime,Appearance,memantine
278,what does Cefixime look like,Cefixime,Appearance,memantine
279,what does Levofloxacin look like,Levofloxacin,Appearance,memantine
280,what does Clarithromycin look like,Clarithromycin,Appearance,memantine
281,what happens if your child ate a Cefuroxime tablet,Cefuroxime,Overdose,tylenol
282,where is Ciprofloxacin originated from,Ciprofloxacin,Information,heroin
283,Doxycycline >65what is this vaccine ?,Doxycycline,Information,prevnar
284,what medications contribute to non-alcoholic fatty liver,Fosfomycin,Side effects,medications that contribute to non-alcoholic fatty liver
286,what is Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Information,fentanyl
287,what is the reason for having to use Nitrofurantoin after a antibodies fusion,Nitrofurantoin,Indication,heparin
290,what drugs case erectile dysfuntion,Fosfomycin,Side effects,drugs that cause erectile dysfunction
292,it is Azithromycin a cholinergic?,Azithromycin,Information,latanoprost
294,can i drink voltarel or cataflam when i drink medrol,Doxycycline,Interaction,(Voltaren or Cataflam) and Medrol
296,in how much temp Trimethoprim-sulfamethoxazole should store,Trimethoprim-sulfamethoxazole,Storage and disposal,bcg vaccine
297,how can Cefuroxime effect my blood test,Cefuroxime,Side effects,biotin
300,how to give diazepam rectal gel,Levofloxacin,Usage,diazepam gel
301,is there an antacid Nitrofurantoin?,Nitrofurantoin,Information,malox
302,what is Ciprofloxacin,Ciprofloxacin,Information,pepsin
304,if i am allergic to sufa can i take Cefotaxime?,Cefotaxime,Contraindication,glipizide
305,what color is Amoxicillin,Amoxicillin,Appearance,phenytoin
306,what color is Clarithromycin,Clarithromycin,Appearance,phenytoin
307,what color is Cefixime,Cefixime,Appearance,phenytoin
308,what color is Cefixime,Cefixime,Appearance,phenytoin
310,what is Ciprofloxacin,Ciprofloxacin,Information,xanax
311,how long should you use Levofloxacin,Levofloxacin,Usage/duration,anti inflammatory gel
312,what does hydro coding acet 5-325,Nitrofurantoin,Information,hydrocodone + acetaminophen
314,what do Trimethoprim-sulfamethoxazoles look like,Trimethoprim-sulfamethoxazole,Appearance,percocet
316,how will i feel when taking Amoxicillin tablets,Amoxicillin,Side effects,memantine
318,Azithromycin how to use them safely,Azithromycin,Usage,blood thinner pills
319,what is Doxycycline,Doxycycline,Information,coumadin
322,how long can Clarithromycin be taken?,Clarithromycin,Usage/duration,megestrol
324,can you use Cefotaxime past expiration date?,Cefotaxime,Storage and disposal,fluorouracil
325,what is usual infusion time for Cefuroxime injecetion,Cefuroxime,Usage,cetuximab
326,what is Fosfomycin,Fosfomycin,Information,streptomycin
327,what is the drug to drug interation for luvox and quillivant,Nitrofurantoin,Interaction,Luvox + Quillivant
328,"albuterol portable ""nebulizer?"" microtia vibrating mesh nebulizing ""system.""",Doxycycline,Information,albuterol nebulizers
331,what drugs contain in testerone injection,Amoxicillin,Information,testosterone injection
332,how to take Azithromycin,Azithromycin,Usage,statins
334,is it nessasary to ween off of cymbalta before starting effexor?,Clarithromycin,Interaction,Cymbalta and Effexor
335,what do Levofloxacin do to the brain,Levofloxacin,Side effects,steroids
336,is Cefuroxime a nsaid?,Cefuroxime,Information,pramoxine
339,is Cefixime safe in mouthwash?,Cefixime,Side effects,peppermint oil
340,how to inject pills Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Usage,morphine
341,Cefotaxime how supplied,Cefotaxime,Information,metoclopramide
342,Fosfomycin how supplied,Fosfomycin,Information,metoclopramide
343,Ciprofloxacin how supplied,Ciprofloxacin,Information,metoclopramide
344,Trimethoprim-sulfamethoxazole how supplied,Trimethoprim-sulfamethoxazole,Information,metoclopramide
345,"why Cefotaxime is not allowed by prostate ""cancer?""",Cefotaxime,Contraindication,finasteride
346,when teeth have been treated how lon after do yohave to wait to have Doxycycline injection,Doxycycline,Contraindication,zoledronic acid
347,are there Ciprofloxacin for cold symtoms?,Ciprofloxacin,Indication,antibiotics
348,how many years will the Azithromycin pill be potent,Azithromycin,Storage and disposal,Viagra
350,what drug reverses the effect of Fosfomycin,Fosfomycin,Overdose,heparin
352,does Cefixime is used for treat stroke?,Cefixime,Indication,enalaprilat
353,how to group of Nitrofurantoin,Nitrofurantoin,Information,mebendazole
354,why did my doctor give me Levofloxacin what is use for,Levofloxacin,Indication,levetiracetam
355,what is Amoxicillin,Amoxicillin,Information,divalproex
356,what is Cefuroxime,Cefuroxime,Information,divalproex
357,what medicines should not be taken with Clarithromycine,Clarithromycin,Interaction,gabapentin
362,show me the stages of Doxycycline 15 milligram hcl,Doxycycline,Information,oxycodone
363,what is Clarithromycin,Clarithromycin,Information,ASA EC
364,Azithromycin make glacoma worst?,Azithromycin,Side effects,glucosamine
366,how long does Nitrofurantoin stay good,Nitrofurantoin,Storage and disposal,polyethylene glycol
367,what does Fosfomycin pill look like,Fosfomycin,Appearance,bumetanide
368,what does Cefixime pill look like,Cefixime,Appearance,bumetanide
369,what does Cefotaxime pill look like,Cefotaxime,Appearance,bumetanide
372,can i have allergie test when taking Trimethoprim-sulfamethoxazole?,Trimethoprim-sulfamethoxazole,Side effects,methylprednisolone
375,foods to avoid when taking Amoxicillin,Amoxicillin,Interaction,metformin
379,what is Ciprofloxacin,Ciprofloxacin,Information,amphetamine
380,what Cefuroxime looks like in color shape,Cefuroxime,Appearance,valacyclovir
381,what Levofloxacin looks like in color shape,Levofloxacin,Appearance,valacyclovir
382,what Cefixime looks like in color shape,Cefixime,Appearance,valacyclovir
383,what Levofloxacin looks like in color shape,Levofloxacin,Appearance,valacyclovir
384,"pantoprazole can it be taken ""plavix?""",Clarithromycin,Interaction,pantoprazole and Plavix
385,what the interaction between trimethoprim blood pressure medication,Cefuroxime,Interaction,trimethoprim and blood pressure medication
386,what Cefotaxime are best for someone with a heart arrhythmia,Cefotaxime,Indication,antidepressants
392,what is Azithromycin for knee,Azithromycin,Information,Supartz FX
395,Trimethoprim-sulfamethoxazole?,Trimethoprim-sulfamethoxazole,Information,famotidine 10 mg
396,"is Nitrofurantoin safe in ""mouth wash?""",Nitrofurantoin,Side effects,peppermint oil
397,can Doxycycline lower blood pressure?,Doxycycline,Indication,alprazolam
398,what side effects would magnesium have on a woman taking dilantin?,Fosfomycin,Interaction,magnesium and Dilantin
399,what is Amoxicillin how does it work,Amoxicillin,Information,acetylcholine
401,what are tne side effects of Ciprofloxacin,Ciprofloxacin,Side effects,carprofen
402,Cefotaxime long term use?,Cefotaxime,Usage/duration,lansoprazole
403,what is Doxycycline?,Doxycycline,Information,Efudex
404,what medications can induce hypo pigmentation of skin?,Clarithromycin,Side effects,drugs that cause hypopigmentation
407,what is the side effects of Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Side effects,Invokana
408,how long after teeth treatment can you start Azithromycin infection,Azithromycin,Contraindication,zoledronic acid
409,what are Amoxicillin,Amoxicillin,Information,steroids
411,how long do you leave Ciprofloxacin,Ciprofloxacin,Usage,bimatoprost ophthalmic
412,what is Nitrofurantoin,Nitrofurantoin,Information,dopamine
413,how to use an Cefuroxime,Cefuroxime,Usage,epinephrine pen
414,how to reconstitute Levofloxacin,Levofloxacin,Usage,cefazolin
415,what is Cefixime prescribed for?,Cefixime,Indication,Actonel
416,Fosfomycin interaction with herbal supplements?,Fosfomycin,Interaction,brimonidine
419,what is Cefixime >65?,Cefixime,Information,Prevnar
420,where yo get Fosfomycins,Fosfomycin,Information,tetanus shot
423,"for a ""rinse,"" how many ""cc"" should be ""used?f"" lidocaine lidocaine used",Nitrofurantoin,Usage,lidocaine rinse
426,what does the pill Doxycycline look like,Doxycycline,Appearance,oxybutynin
428,what pills are not compatible with Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Interaction,hydrocodone
433,blood pressure when on Amoxicillin,Amoxicillin,Side effects,Eliquis
434,what do i mix Azithromycin with in my nebulizer?,Azithromycin,Usage,albuterol sulfate inhalation solution
435,what color Cefotaxime,Cefotaxime,Appearance,metoprolol
437,what ppis this medication for simvastatin,Clarithromycin,Interaction,"simvastatin, PPI"
438,how to give Levofloxacin,Levofloxacin,Usage,insulin
442,will Ciprofloxacin exacerbate heart arrhythmias?,Ciprofloxacin,Side effects,citalopram
445,"what is an esi shot in the ""back?"" epidural steroids shot in the ""back?""",Cefuroxime,Information,epidural steroid injection (ESI)
446,what is medication for singular 10 mg.,Cefuroxime,Indication,Singulair
447,"Cefotaxime, 75 mg. how much is to much",Cefotaxime,Overdose,diclofenac sodium
448,what upis this medication for Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,unanswerable,simvastatin
449,"any ""side effects"" when stop taking Nitrofurantoin",Nitrofurantoin,Stopping/side effects,clopidogrel
450,can Azithromycin be used for medical reasons?,Azithromycin,Indication,hormonal contraceptives
452,what is Clarithromycin,Clarithromycin,Information,Nicoderm
454,what is Levofloxacin,Levofloxacin,Information,fluoride
457,is it safe to add peppermint essential oil in mouthwash?,Doxycycline,Side effects,peppermint oil
458,how to identify Amoxicillin tablets,Amoxicillin,Appearance,clonidine
459,Ciprofloxacin admin they injected into my kidney what will i do,Ciprofloxacin,Information,enoxaparin shot
463,Cefixime after dinner and bed time?,Cefixime,Usage,metformin
464,what is Fosfomycin,Fosfomycin,Information,cortisol
465,effects of salt of epson to diabetes?,Amoxicillin,Contraindication,Epsom salt
468,what is Clarithromycin,Clarithromycin,Information,prochlorperazine
469,what does Ciprofloxacin 1gm cure?,Ciprofloxacin,Indication,valacyclovir
472,is it safe to take Nitrofurantoin when breast feeding,Nitrofurantoin,Usage/special populations,toradol
475,what is contraindication of Cefuroxime,Cefuroxime,Contraindication,carbamazepine
476,what is Azithromycin,Azithromycin,Information,docusate sodium
477,what Fosfomycin looks like,Fosfomycin,Appearance,valacyclovir
478,what is insulin Doxycycline,Doxycycline,Information,glucagon
481,"why ""shouldn't"" i take gemfibrozil while taking lovastatin?",Cefixime,Interaction,gemfibrozil; lovastatin
482,Levofloxacin >65?,Levofloxacin,Indication,prevnar
483,how is Cefotaxime adminitsered,Cefotaxime,Usage,cyanocobalamin
485,what is Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Information,beta vulgaris
489,what medications can you not take with Cefixime,Cefixime,Interaction,grapefruit
492,what is Clarithromycin,Clarithromycin,Information,vancomycin
494,Ciprofloxacin for afibwhat are side effects,Ciprofloxacin,Side effects,amiodarone
495,"are you mentally ""i'll"" when you ""take Cefuroxime?""",Cefuroxime,Indication,fluoxetine
496,how to use Amoxicillin insulin pen,Amoxicillin,Usage,lantus solostar
501,what class is Fosfomycin,Fosfomycin,Information,diazepam
502,is estradiol transdermal patch bio-identical estrogen?,Azithromycin,Information,estradiol transdermal patch; estrogen
505,what does Nitrofurantoin do to the body,Nitrofurantoin,Side effects,prednisone
506,how to prescribe Cefotaxime,Cefotaxime,Usage,fluocinonide .05% gel
507,what to do with Levofloxacin poisoning,Levofloxacin,Overdose,hydrogen peroxide
511,how long are you protected after taking the hep b vaccine,Doxycycline,Time/effectiveness,hepatitits B vaccine
512,how you use for paracetamol,Trimethoprim-sulfamethoxazole,Usage,Acetaminophen
514,"problems when stopping Doxycycline, hair loss?",Doxycycline,Stopping/side effects,metformin
515,what is Levofloxacin used for,Levofloxacin,Indication,diclofenac sodium topical gel
516,what is rate for iv infusion Fosfomycin,Fosfomycin,Usage,cilastatin/imipenem
517,what is a Azithromycin,Azithromycin,Information,beta blocker
520,how does Cefotaxime i effect the nervous system,Cefotaxime,Side effects,cocaine
521,"are you able to take Cefixime if you have a heart ""transplant?""",Cefixime,Contraindication,guaifenesin
523,can i took Cefuroxime for acne when i have kidney stone,Cefuroxime,Contraindication,minocycline
524,what is Amoxicillin ?,Amoxicillin,Information,amlodipine
527,what is the medication riva-clonazepam,Clarithromycin,Information,RIVA-CLONAZEPAM (clonazepam)
532,if Trimethoprim-sulfamethoxazole is instilled in the wrong eye what happens,Trimethoprim-sulfamethoxazole,Usage,diclofenac
533,how other inject Nitrofurantoin to the knee,Nitrofurantoin,Information,cortisone
535,how long will Ciprofloxacin last on the shelf,Ciprofloxacin,Storage and disposal,benzonatate
536,Fosfomycin medication treats what disorder,Fosfomycin,Indication,tretinoin
538,what is clotrimazole betamethasone dipropionate cream,Doxycycline,Information,CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE
539,what is Trimethoprim-sulfamethoxazole used for,Trimethoprim-sulfamethoxazole,Indication,triamcinolone acetonide
540,what is Levofloxacin,Levofloxacin,Information,benzodiazepines
541,whats Azithromycin,Azithromycin,Information,zithromax
546,how much gravol to kill you,Cefuroxime,Overdose,Dimenhydrinate
547,what are the side effects and long term consequences of using Amoxicillin,Amoxicillin,Side effects,nicotine
548,what are the side effects and long term consequences of using Cefixime,Cefixime,Long term consequences,nicotine
549,how is Nitrofurantoin taken,Nitrofurantoin,Information,nicotine
550,brinzolamide is brimodine?,Cefotaxime,Information,brinzolamide/brimodine
551,what does take drug with food mean?,Clarithromycin,Information,drug & food
557,heroin mixed with Ciprofloxacin what are the symptoms of an overdose,Ciprofloxacin,Overdose,fentanyl
558,Fosfomycin mixed with fentanyl what are the symptoms of an overdose,Fosfomycin,Overdose,heroin
559,heroin mixed with fentanyl what are the symptoms of an overdose,Cefuroxime,Interaction,"heroin, fentanyl"
560,is Ciprofloxacin addictive?,Ciprofloxacin,Side effects,pramipexole
562,how long will the Trimethoprim-sulfamethoxazole stay good,Trimethoprim-sulfamethoxazole,Storage and disposal,cyanocobalamin
564,Amoxicillin caps 200 mg what is it for,Amoxicillin,Indication,celebrex
566,what does Cefotaxime look like,Cefotaxime,Appearance,vicodin
570,what is Cefixime used for,Cefixime,Indication,xifaxan
572,what happens when you mix cymbalta with muscle relaxes,Doxycycline,Interaction,"cymbalta, muscle relaxants"
575,how to take Clarithromycin,Clarithromycin,Usage,clotrimazole
576,how to apply Azithromycin patch on chest,Azithromycin,Usage,clonidine
577,do patients get better medication deposition when using a Nitrofurantoin?,Nitrofurantoin,Information,spacer
578,what color is the Levofloxacin,Levofloxacin,Appearance,clonazepam
579,how 9is Clarithromycin adminitsered,Clarithromycin,Usage,cyanocobalamin
581,i need to know how to use this medication Nitrofurantoin,Nitrofurantoin,Usage,ultibro
584,show me Doxycycline,Doxycycline,Appearance,omeprazole
585,what is Cefixime medicine,Cefixime,Appearance,u02
588,what size bottle does Cefotaxime come in,Cefotaxime,Storage and disposal,latanoprost ophthalmic
589,how is bcg vaccine stored,Fosfomycin,Storage and disposal,bsg vaccine
590,what is Azithromycin (rzv) recombinant vaccine,Azithromycin,Information,shingrix
593,how often can a prescription of Levofloxacin be called in,Levofloxacin,Usage,fentanyl
595,"how should i dilute Cefuroxime ""infection?""",Cefuroxime,Usage,ceftriaxone
598,how can i split a 3mg or 4mg waefin pill so i can get a 2.5mg pill,Ciprofloxacin,Usage,warfarin
601,ok to use expired Trimethoprim-sulfamethoxazole patches??,Trimethoprim-sulfamethoxazole,Storage and disposal,lidocaine
603,why take Amoxicillin,Amoxicillin,Indication,simvastatin
604,what is the medication thera tab used to treat?,Cefuroxime,Indication,Thera-Tabs
606,what spices can be used while on warfarin,Amoxicillin,Interaction,warfarin; spices
607,how do Azithromycin effect the digestive system,Azithromycin,Side effects,steroids
