original_drug,Focus (Drug)
celebrex,Amoxicillin
vicodin,Cefotaxime
xifaxan,Cefixime
"cymbalta, muscle relaxants",Doxycycline
clotrimazole,Clarithromycin
clonidine,Azithromycin
spacer,Nitrofurantoin
clonazepam,Levofloxacin
cyanocobalamin,Clarithromycin
ultibro,Nitrofurantoin
omeprazole,Doxycycline
u02,Cefixime
latanoprost ophthalmic,Cefotaxime
bsg vaccine,Fosfomycin
shingrix,Azithromycin
fentanyl,Levofloxacin
ceftriaxone,Cefuroxime
warfarin,Ciprofloxacin
lidocaine,Trimethoprim-sulfamethoxazole
simvastatin,Amoxicillin
Thera-Tabs,Cefuroxime
warfarin; spices,Amoxicillin
steroids,Azithromycin
steroids,Nitrofurantoin
antibiotics,Cefotaxime
trospium chloride,Clarithromycin
aspirin,Doxycycline
QVAR,Fosfomycin
eliquis; cialis,Cefixime
jalyn,Ciprofloxacin
topiramate,Trimethoprim-sulfamethoxazole
spironolactone,Levofloxacin
moxifloxacin,Ciprofloxacin
vaccination,Cefotaxime
Pneumococcal Vaccines,Nitrofurantoin
Pneumococcal Vaccines,Cefixime
Pneumococcal Vaccines,Amoxicillin
vomiting of medication,Clarithromycin
prevnar,Azithromycin
clotrimazole and betamethasone dipropionate,Cefuroxime
llevodopa and carbidopa; alcohol,Doxycycline
fluorouracil cream,Fosfomycin
drugs that cause hirsutism,Levofloxacin
formoterol,Trimethoprim-sulfamethoxazole
"rivaroxaban, painkillers",Azithromycin
steroid injections,Amoxicillin
nicoderm,Cefixime
warfarin; cabbage,Fosfomycin
rosuvastatin,Clarithromycin
glucagon & insulin,Cefuroxime
ultram ; ibuprofen,Cefotaxime
herceptin,Doxycycline
bupropion hcl 300mg,Trimethoprim-sulfamethoxazole
td vaccine,Ciprofloxacin
testosterone injection,Nitrofurantoin
carvedilol,Doxycycline
dicyclomine,Azithromycin
iron injections,Cefuroxime
"plavix, xarelto,  dilaudid",Nitrofurantoin
erythromycin ointment,Amoxicillin
ceftriaxone injection,Levofloxacin
lasix,Ciprofloxacin
nivolumab,Cefotaxime
fluorouracil,Trimethoprim-sulfamethoxazole
fluorouracil,Fosfomycin
tocilizumab,Clarithromycin
diclofenac,Cefixime
cephalexin,Azithromycin
terfenadine,Clarithromycin
bisolvon,Fosfomycin
amlodipine; metoprolol,Amoxicillin
bystolic,Ciprofloxacin
"fluticasone, oxygen",Cefuroxime
