seID,antibioticID,seName,duration,occurrencePattern,description,referenceID,validatorID
SE048,A012,Cholestatic jaundice,Not Specified,Not Specified,"Minor side effect; yellowing of skin and whites of the eyes, fatigue ",R037,
SE050,A012,Vaginitis,Not Specified,Not Specified,Minor side effect; inflammation of the vagina,R037,
SE051,A012,Nephritis,Not Specified,Not Specified,"Minor side effect; inflammation of one or both kidneys, which can leak protein into urine and impair the body's ability to absorb water and lead to tissue swelling","R037
R061",
SE053,A012,Vertigo,Not Specified,Not Specified,Minor side effect; false sensation of motion such as spinning or swaying,R037,
SE054,A012,Somnolence,Not Specified,Not Specified,Minor side effect; feeling tired and wanting to fall asleep,R037,
SE055,A012,Fatigue,Not Specified,Not Specified,"Minor side effect; feeling of weariness, tiredness, or lack of energy","R037
R062",
SE056,A012,Rash,Not Specified,Not Specified,"Minor side effect; red, bumpy, often itchy skin",R037,
SE058,A012,Photosensitivity,Not Specified,Not Specified,"Minor side effect; skin reacts negatively to sunlight or UV rays that causes an itchy, painful rash","R037
R063",
SE059,A012,Angioedema,Not Specified,Caused by allergies,"Minor side effect; swelling in the tissue under your skin, commonly seen in the lips, eyelids, tongue, genitals, hands or feet","R037
R064",
SE061,A012,Transient reductions in neutrophil counts,Short-term,Not Specified,"Reversible side effect; neutrophils, a type of white blood cell, are decreased, but eventually turns back to normal","R037
",
SE062,A028,Nausea,Few hours,"Common, may happen during or shortly after infusion",Feeling of wanting to vomit; usually mild and goes away on its own.,"R027
R028",
SE063,A028,Vomiting,Few hours,"Common, may happen during infusion",Forceful expulsion of stomach contents; usually mild and stops after the dose.,"R027
R028",
SE064,A028,Diarrhea,Few days,"Common, may occue while taking the drug","Loose or watery stools; usually mild, stops after treatment.","R027
R028",
SE065,A028,Headache,Few hours to a day,"Common, may happen during treatment",Mild to moderate head pain; usually temporary.,"R027
R028",
SE066,A028,Hypokalemia ,During treatment,"Common, can happen while on drug","Low potassium; may cause muscle weakness, cramps, or irregular heartbeat; often corrected with supplements","R027
R028",
SE067,A028,Hypernatremia,During treatment,"Common, can happen while on drug","High sodium in blood; may cause thirst, swelling, or confusion if severe.","R027
R028",
SE068,A028,Hypocalcemia,During treatment,"Common, can happen while on drug","Low calcium; may cause muscle cramps, tingling, or numbness; usually mild and temporary.","R027
R028",
SE069,A028,Hypophosphatemia,During treatment,"Common, can happen while on drug",Low phosphate; may cause weakness or bone/muscle pain; usually mild.,"R027
R028",
SE070,A028,Transaminase elevations,During treatment,"Common, usually mild",Liver enzymes increase; usually no symptoms and reversible after stopping drug.,"R027
R028",
SE071,A028,Neutropenia,During treatment,"Common, may happen during therapy",Low white blood cell count; can increase infection risk; monitored with blood tests.,"R027
R028",
SE072,A028,Anemia,Rare,"Rare, hardly happens","Low red blood cells; may cause fatigue, weakness, or shortness of breath.",R028,
SE073,A028,Thrombocytopenia,Rare,"Rare, hardly happens",Low platelet count; may cause easy bruising or bleeding.,R028,
SE074,A028,Rash,Hours to few days,"Rare, can happen","Skin redness, bumps, or hives, may be allergic reaction.","R027
R028",
SE075,A028,Infusion Site Reaction,Short-term,"Rare, may happen","Pain, redness, or swelling at IV site; usually mild.",R028,
SE076,A028,Peripheral Edema,During treatment,"Rare, may happen","Swelling in hands, feet, or ankles; usually mild.",R028,
SE077,A028,Dysgeusia,During treatment,"Rare, may happen",Unpleasant taste in mouth; usually mild and temporary,R028,
SE078,A028,Constipation,During treatment,"Rare, may happen",Difficulty passing stools; usually mild and temporary.,R028,
SE079,A028,Hearing Loss,During treatment,"Rare, may happen",Temporary or mild hearing changes reported rarely.,R028,
SE080,A028,Dyspnea,During treatment,"Rare, may happen",Shortness of breath; can happen in allergic reactions or fluid overload.,R028,
SE081,A028,Anaphylaxis,Immediate,"Very rare, emergency","Severe allergic reaction with difficulty breathing, swelling, low blood pressure; needs emergency care.",R028,
SE082,A028,Torsade de pointes ,During treatment,Very rare,Rare heart rthythm proble; can be life-threatening; monitored in high-risk patients.,R028,
SE083,A028,C. difficile-associated diarrhea,During or weeks after therapy,Very rare,Severe diarrhea cause by bacterial overgrowth; requires medical attention.,R028,
SE084,A028,Vertigo,During treatment,Very rare,Feeling of spinning or dizziness; usually temporary.,R028,
SE085,A028,Visual Impairment ,Rare,Very rare,Temporary vision changes reported in isolated cases.,R028,
SE086,A029,Abdominal Pain,Short-term,Can occur sooner after taking,Mild to moderate stomach discomfort.,"R029
R030",
SE087,A029,Back Pain,Short-term,Occasionally reported,Mild back pain.,"R029
R030",
SE088,A029,Diarrhea,Short-term,Can occur within first days,Mild loose stools; monitor for severe watery or bloody diarrhea.,"R029
R030",
SE089,A029,Dizziness,Short-term,Occasionally reported,"May cause lightheadedness, affecting activities.","R029
R030",
SE090,A029,Headache,Short-term,Occasionally reported,Mild headache.,"R029
R030",
SE091,A029,Heartburn,Short-term,Occasionally reported,Mild discomfort or burning in chest.,"R029
R030",
SE092,A029,Nausea,Short-term,Occasionally reported,Feeling of sickness or queasiness.,"R029
R030",
SE093,A029,Runny Nose,Short-term,Rare,Mild nasal discharge.,"R029
R030",
SE094,A029,Unexplained Weakness,Short-term,Rare,Feeling unusually tired or weak.,"R029
R030",
SE095,A029,Rash,Short-term,Rare but serious,Skin rash; contact doctor if persistent.,"R029
R030",
SE096,A029,Vaginal Itching,Short-term,Rare,Mild itching; may indicate yeast overgrowth.,"R029
R030",
SE097,A029,Severe Allergic Reaction,Immediate,Very rare,"Hives, swelling, difficulty breathing, seek emergency care.","R029
R030",
SE098,A029,Symptoms of Bowel Inflammation,Short-term,Rare but serious,Persistent or bloody diarrhea with abdominal pain and/or fever; seek doctor immediately.,"R029
R030",
SE099,A009,Hypersensitivity Reactions,Not Specified,Not Specified,"Includes skin rashes, urticaria, eosinophilia, fever, reactions resembling serum sickness,, and anaphylaxis.",R014,
SE100,A010,Hypersensitivity Reactions,Not Specified,Not Specified,"Includes skin rashes, urticaria, eosinophilia, fever, reactions resembling serum sickness,, and anaphylaxis.",R014,
SE101,A009,Arrythmias,Not Specified,Not Specified,Arrythmias have been associated with rapid bolus administration through a central venous catheter.,R014,
SE102,A015,Candidiasis,Not Specified,Uncommon,"Yeast infection caused by Candida albicans that commonly affects mouth, skin and vagina","R039
R065",
SE104,A015,Pneumonia,Not Specified,Uncommon,"difficulty breathing that can cause fever and cough with yellow, green or blood mucus","R039
",
SE105,A015,Fungal Infections,Not Specified,Uncommon,"condition caused by fungus; usually affect skin, hair nails or mucous membranes","R039
R066",
SE107,A015,Pharyngitis,Not Specified,Uncommon,scratchy or burning feeling in the back of your throat; it may hurt to swallow or talk,"R039
R055",
SE108,A015,Gastroenteritis,Not Specified,Uncommon,inflammation of the lining of the stomach and intestines; vomiting and diarrhea,"R039
R067",
SE110,A015,Rhinitis,Not Specified,Uncommon,"nasal congestion, runny nose, sneezing, itching",R039,
SE111,A015,Oral candidiasis,Not Specified,Uncommon,"Infection that affections your mouth, throat, tongue or esophagus; Causes raised, white sores to develop, along with mouth pain, irritation and redness","R039
R065",
SE112,A015,Leukopenia,Not Specified,Uncommon,lower-than-normal number of white blood cells,R039,
SE114,A015,Eosinophilia,Not Specified,Uncommon,"unusually high number of eosinophils (type of white blood cell) in blood; High number of eosinophils crowd at specific areas of the body, causing medical conditions linked to inflammation that can affecti multiple areas of the body.","R039
R068",
SE115,A015,Angioedema,Not Specified,Uncommon,"swelling in the tissue under your skin, commonly seen in the lips, eyelids, tongue, genitals, hands or feet","R039
R064",
SE119,A015,Insomnia,Not Specified,Uncommon,difficulty falling asleep or staying asleep,R039,
SE120,A015,Agitation,Not Specified,Rare,state of severe restlessness or inner tension,R039,
SE121,A015,Headache,Not Specified,Common,Discomfort in the head or face,R039,
SE123,A015,Somnolence,Not Specified,Uncommon,feeling tired and wanting to fall asleep,R039,
SE124,A015,Dysguesia,Not Specified,Uncommon,"all foods taste metallic, sweet, sour or bitter","R039
R070",
SE126,A015,Vertigo,Not Specified,Uncommon,false sensation of motion such as spinning or swaying,R039,
SE127,A015,Palpitations,Not Specified,Uncommon,"feeling like your heart is missing heartbeats, racing or pounding felt in chest, throat or neck.","R039
R059",
SE128,A015,Hot flush,Not Specified,Uncommon,"sudden feeling of warmth in the upper body mostly affecting the face, neck and chest",R039,
SE129,A015,Diarrhoea,Not Specified,Very Common,"Loose, watery stools.",R039,
SE130,A015,Vomiting,Not Specified,Common,Effects are usually mild. Forceful ejection stomach contents through the mouth.,"R039
R057",
SE131,A015,Abdominal Pain,Not Specified,Common,pain felt anywhere between the chest and groin.,"R039
R058",
SE132,A015,Nausea,Not Specified,Common,Effects are usually mild. Sensation of having to vomit or having the urge to vomit.,"R039
R056",
SE133,A015,Decreased lymphocyte count and blood bicarbonate,Not Specified,Common,Low lymphocyte count can increase chances of getting sick; Low level of blood bicarbonate can cause metabolic acidosis or too much acid in the body.,"R039
R073
R074",
SE134,A015,"Increased Eosinophil count, basophils, monocytes and neutrophils",Not Specified,Common,"This can lead to leukocytosis, which means the patient has a high white blood cell count than normal; Neutrophilia leukocytosis is caused by a high number of neutrophils (the most plentiful type of white blood cell, which helps resolve infections and heal damaged tissues).; Monocytosis is caused by a high number of monocytes (white blood cells that boost your immune responses).; Eosinophilia refers to high levels of eosinophils (white blood cells that play a role in fighting infections and inflammation). Eosinophilia is common and is often related to allergies, parasitic infections or autoimmune disorders; Basophilia, the rarest form of leukocytosis, is characterized by an increased number of basophils (white blood cells that play a role in fighting parasitic infections, preventing blood clotting and responding to allergic reactions).","R039
R075",
SE135,A030,Steven-Johnson Syndrome,Not specified,Not specified,"Stevens-Johnson syndrome (SJS) is a rare, serious disorder of the skin and mucous membranes. It's usually a reaction to medication that starts with flu-like symptoms, followed by a painful rash that spreads and blisters. Then the top layer of affected skin dies, sheds and begins to heal after several days.",R034,
SE136,A030,Toxic epidermal necrolysis,Not specified,Not specified,Toxic epidermal necrolysis (TEN) is potentially life-threatening acute mucocutaneous Syndrome. It usually occurs because of inappropriate immune reactions to certain drugs. ,R033,
SE137,A031,Steven-Johnson Syndrome,Not specified,Not specified,"Stevens-Johnson syndrome (SJS) is a rare, serious disorder of the skin and mucous membranes. It's usually a reaction to medication that starts with flu-like symptoms, followed by a painful rash that spreads and blisters. Then the top layer of affected skin dies, sheds and begins to heal after several days.",R034,
SE138,A031,Toxic epidermal necrolysis,Not specified,Not specified,Toxic epidermal necrolysis (TEN) is potentially life-threatening acute mucocutaneous Syndrome. It usually occurs because of inappropriate immune reactions to certain drugs. ,R033,
SE139,A013,Gastrointestinal disturbances,Not Specified,Most frequent,Mild disease in the gastrointestinal tract,R038,
SE141,A014,Angioedema and cholestatic jaundice,Not Specified,Happens during multiple-dose regimen,"Swelling in the tissue under your skin, commonly seen in the lips, eyelids, tongue, genitals, hands or feet; yellowing of skin and whites of the eyes","R038
R064",
SE142,A014,Nausea,Not Specified,Happens during multiple-dose regimen,Sensation of having to vomit or having the urge to vomit.,"R038
R056",
SE143,A014,Vomiting,Not Specified,Happens during multiple-dose regimen,Forceful ejection stomach contents through the mouth.,"R038
R057",
SE144,A014,Diarrhea,Not Specified,Happens during multiple-dose regimen,"Loose, watery stool during a bowl movement","R038
R076",
SE145,A014,Abdominal Pain,Not Specified,Happens during multiple-dose regimen,Pain felt anywhere between the chest and groin.,"R038
R058",
SE146,A014,Palpitations and chest pain,Not Specified,Not Specified,"Feeling like your heart is missing heartbeats, racing or pounding felt in chest, throat or neck; Pain felt between neck and belly","R038
R059",
SE147,A014,Dyspepsia,Not Specified,Not Specified,Pain or discomfort in the upper abdomen,R038,
SE148,A014,Flatulence,Not Specified,Not Specified,Body releases gas in your digestive system through your anus.,R038,
SE149,A014,Melena,Not Specified,Not Specified,"Black, tarry stool caused by internal bleeding","R038
R060",
SE151,A014,Vaginitis,Not Specified,Not Specified,Inflammation of the vagina,R038,
SE152,A014,Nephritis,Not Specified,Not Specified,"Inflammation of one or both kidneys, which can leak protein into urine and impair the body's ability to absorb water and lead to tissue swelling","R038
R061",
SE154,A014,Vertigo,Not Specified,Not Specified,false sensation of motion such as spinning or swaying,R038,
SE155,A014,Somnolence,Not Specified,Not Specified,feeling tired and wanting to fall asleep,R038,
SE156,A014,Fatigue,Not Specified,Not Specified,"feeling of weariness, tiredness, or lack of energy","R038
R062",
SE157,A014,Rash,Not Specified,Not Specified,"red, bumpy, often itchy skin",R038,
SE158,A014,Photosensitivity,Not Specified,Not Specified,"Skin reacts negatively to sunlight or UV rays that causes an itchy, painful rash","R038
R063",
SE159,A016,Skin Rash,Not Specified,Common,A general skin reaction,R015,
SE160,A016,Diarrhea,Not Specified,Common,Gastrointestinal disturbance,R015,
SE161,A016,Nausea,Not Specified,Common,Gastrointestinal disturbance,R015,
SE162,A016,Vomiting,Not Specified,Uncommon,Gastrointestinal disturbance,R015,
SE163,A016,Urticaria,Not Specified,Uncommon,A skin reaction (hives),R015,
SE164,A016,Pruritus,Not Specified,Uncommon,Itching,R015,
SE165,A017,Superficial Tooth Discoloration,Reversible (can usually be removed by brushing),"Not specifically classified by frequency, but reported in children",Affects Amoxil 100 mg/mL oral drops and Amoxil Forte oral suspension; can often be prevented by good oral hygiene,R015,
SE166,A017,Skin Rash,Not Specified,Common,A general skin reaction,R015,
SE167,A017,Diarrhea,Not Specified,Common,Gastrointestinal disturbance,R015,
SE168,A017,Nausea,Not Specified,Common,Gastrointestinal disturbance,R015,
SE169,A017,Vomiting,Not Specified,Uncommon,Gastrointestinal disturbance,R015,
SE170,A017,Urticaria,Not Specified,Uncommon,A skin reaction (hives),R015,
SE171,A017,Pruritus,Not Specified,Uncommon,Itching,R015,
SE172,A034,Overgrowth fungal/ C. difficile,Not specified,Common (>1/100 to <1/10),"Clostridioides difficile is a bacterium that causes an infection of the colon, the longest part of the large intestine. Symptoms can range from diarrhea to life-threatening damage to the colon. The bacterium is often called C. difficile or C. diff.","R035
R072",
SE173,A034,Leucopenia,Not specified,Very rare,"Leukopenia (low white blood cell count) happens when you have a lower-than-normal number of white blood cells. Specifically, you have fewer neutrophils than normal. Neutrophils are white blood cells that act as your immune system’s first line of defense. Without enough white blood cells, you’re more vulnerable to developing infections.","R035
R276",
SE174,A034,Neutropenia ,Not specified,Very rare,Neutropenia involves having lower-than-normal levels of neutrophils (a type of white blood cell) in your blood.,"R035
R139",
SE175,A034,Thrombocytopenia,Not specified,Very rare,Thrombocytopenia occurs when your bone marrow doesn’t make enough platelets. Platelets are blood cells that form blood clots to help stop bleeding. People with this condition may bleed a lot and the bleeding may be hard to stop. Thrombocytopenia affects people with certain medical conditions like autoimmune disease or who take certain medications.,"R035
R140",
SE176,A034,Agranulocytosis,Not specified,Very rare,Agranulocytosis refers to having severely low neutrophil levels. Neutrophils are a type of white blood cell. They fight germs that make you sick. Untreated agranulocytosis can lead to life-threatening infections.,"R035
R277",
SE177,A034,Megaloblastic anaemia,Not specified,Very rare,"Megaloblastic anemia is a form of macrocytic anemia, a blood disorder that happens when your bone marrow produces stem cells that make abnormally large red blood cells. Megaloblastic anemia is a type of vitamin deficiency anemia that happens when you don’t get enough vitamin B12 and/or vitamin B9 (folate). ","R035
R278",
SE178,A034,Aplastic anaemia,Not specified,Very rare,"Aplastic anemia is a rare but serious blood disorder. It happens when something damages your bone marrow so it can’t make enough new blood cells and platelets. Left untreated, aplastic anemia is a life-threatening condition.","R035
R279",
SE179,A034,"haemolytic
anaemia",Not specified,Very rare,"Hemolytic anemia is a blood disorder that typically happens when your red blood cells break down or die faster than your body can replace them with new blood cells. People may develop hemolytic anemia by inheriting genetic conditions that cause anemia, certain infections and certain medications. ","R035
R280",
SE180,A034,methaemoglobinaemia,Not specified,Very rare,"Methemoglobinemia (MetHb) is a rare blood disorder that affects how red blood cells deliver oxygen throughout your body. Not everyone has symptoms, but nearly all people with this condition have skin, nails or lips that are a distinctive shade of blue or purple.","R035
R281",
SE181,A034,eosinophilia,Not specified,Very rare,Eosinophilia happens when your body produces an unusually high number of eosinophils. Eosinophils are one of several white blood cells that support your immune system.,"R035
R068",
SE182,A034,purpura,Not specified,Very rare,"Purpura causes red, purple or brown blood spots on your skin. It happens when small blood vessels leak blood under your skin’s surface. ","R035
R185",
SE183,A034,haemolysis in certain susceptible G-6-PD deficient patients,Not specified,Very rare,Hemolysis is the medical term used to describe the destruction of red blood cells. Your body is constantly destroying old or damaged red blood cells and replacing them with new ones.,"R035
R282",
SE184,A034,Serum sickness,Not specified,Very rare,"Serum sickness is an allergic reaction to certain proteins in medicines. Symptoms may include hives, swelling, fever, rash and joint pain. ","R035
R186",
SE185,A034,anaphylactic reaction,Not specified,Very rare,"Anaphylaxis is when you have a severe allergic reaction. Most commonly, it happens after you eat certain foods or get stung by an insect. Going into anaphylactic shock can be life-threatening.","R035
R283",
SE186,A034,allergic myocarditis,Not specified,Very rare,"Myocarditis is inflammation of the heart muscle, or myocardium. This inflammation weakens your heart muscle, making it harder for your heart to pump. This can be caused by viral infections or inflammatory conditions.","R035
R284",
SE187,A034,"hypersensitivity vasculitis resembling Henoch-Schönlein-
purpura",Not specified,Very rare,"Henoch-Schonlein purpura causes the small blood vessels in the skin, joints, intestines and kidneys to become inflamed and bleed. The most noticeable symptom of this form of vasculitis is a rash that often appears on the legs and feet. Henoch-Schonlein purpura also can cause belly pain and aching joints. Rarely, the condition may cause serious kidney damage.","R035
R285",
SE188,A034,periarteritis nodosa,Not specified,Very rare,Polyarteritis nodosa or PAN is a rare condition of inflamed blood vessels that hurt your organs. You can have symptoms in many parts of your body at one time. ,"R035
R286",
SE189,A034,systemic lupus erythematosus,Not specified,Very rare,"Systemic lupus erythematosus (SLE) is a systemic autoimmune disease with multisystem involvement and is associated with significant morbidity and mortality. Genetic, immunological, endocrine, and environmental factors influence the loss of immunological tolerance against self-antigens leading to the formation of pathogenic autoantibodies that cause tissue damage through multiple mechanisms.","R035
R187",
SE190,A034,haemophagocytic lymphohistiocytosis,Not specified,Very rare,Hemophagocytic lymphohistiocytosis is a rare and often life-threatening condition if left untreated. HLH causes your immune system to attack your body instead of a foreign invader like a virus. The condition is either acquired or genetic and there’s no way to prevent it.,"R035
R287",
SE191,A034,"Severe hypersensitivity reactions associated with
Pneumocystis jirovecii pneumonia",Not specified,Very rare,"Pneumocystis carinii pneumonia (PCP), now referred to as Pneumocystis jirovecii pneumonia, is a fungal infection that most commonly affects the immunocompromised and, in some cases, can be severely life-threatening. Typically, patients at risk are those with underlying disease states that alter host immunity, such as cancer, human immunodeficiency virus, transplant recipients, or those taking immunosuppressive therapies and medications. Patients presenting with PCP may show signs of fever, cough, dyspnea, and, in severe cases, respiratory failure. ","R035
R288",
SE192,A034,thrombocytopenia,Not specified,Very rare,Thrombocytopenia occurs when your bone marrow doesn’t make enough platelets. Platelets are blood cells that form blood clots to help stop bleeding. People with this condition may bleed a lot and the bleeding may be hard to stop. Thrombocytopenia affects people with certain medical conditions like autoimmune disease or who take certain medications.,"R035
R140",
SE193,A034,hepatic enzyme increased,Not specified,Very rare,"If your blood test showed high (elevated) levels of liver enzymes, you could have a medical condition. Elevated liver enzymes may also be temporary.","R035
R247",
SE194,A034,"
hyperkalaemia",Not specified,Very rare,"Hyperkalemia is a condition in which you have high potassium levels in your blood. You may not have any symptoms, or they may be easy to dismiss. Severe symptoms may cause muscle weakness or affect your heart. ","R035
R289",
SE195,A034,hyponatraemia,Not specified,Very rare,"Hyponatremia is when the amount of sodium in your blood is too low. Common causes include heart, liver, kidney and brain diseases, hormone issues and medications.","R035
R290",
SE196,A034,rhabdomyolysis,Not specified,Very rare,Rhabdomyolysis is a rare muscle injury where your muscles break down. This is a life-threatening condition that can happen after an injury or excessive exercise without rest. ,"R035
R291",
SE197,A034,Hyperkalaemia,Not specified,Very common,"Hyperkalemia is a condition in which you have high potassium levels in your blood. You may not have any symptoms, or they may be easy to dismiss. Severe symptoms may cause muscle weakness or affect your heart. ","R035
R289",
SE198,A034,Hypoglycaemia,Not specified,Very rare,Hypoglycemia (low blood sugar) is common in people who have diabetes. But it can also sometimes affect people without diabetes.,"R035
R292",
SE199,A034,hyponatraemia,Not specified,Very rare,"Hyponatremia is when the amount of sodium in your blood is too low. Common causes include heart, liver, kidney and brain diseases, hormone issues and medications.","R035
R290",
SE200,A034,decreased appetite,Not specified,Very rare,A loss of appetite is a symptom that can have many causes. This occurs when you don’t feel hungry. The medical term for a loss of appetite is anorexia. This is different from the eating disorder anorexia nervosa.,"R035
R293",
SE201,A034,metabolic acidosis,Not specified,Very rare,"Metabolic acidosis is a condition in which acids build up in your body. Causes include untreated diabetes, the loss of bicarbonate in your body and kidney conditions. Symptoms include an accelerated heartbeat, confusion and fatigue.","R035
R294",
SE202,A034,Depression,Not specified,Very rare,"Depression is a common mental health condition that causes a persistent feeling of sadness and changes in how you think, sleep, eat and act.","R035
R295",
SE203,A034,Hallucination,Not specified,Very rare,"Hallucinations are false perceptions of sensory experiences. Some hallucinations are normal, such as those caused by falling asleep or waking up. But others may be a sign of a more serious condition like schizophrenia or dementia.","R035
R126",
SE204,A034,Psychotic disorder,Not specified,Not known,"Psychosis is the term for a collection of symptoms that happen when a person has trouble telling the difference between what’s real and what’s not. This disconnection from reality can happen for several reasons, including many different mental and physical conditions. ","R035
R296",
SE205,A034,Headache,Not specified,Very rare,Headaches are a very common condition that most people will experience many times during their lives. The main symptom of a headache is pain in your head or face. ,"R035
R203",
SE206,A034,Meningitis aseptic,Not specified,Very rare,"Aseptic meningitis is an inflammatory condition of the meninges characterized by cerebrospinal fluid pleocytosis and negative bacterial cultures. Although generally considered a benign illness, it encompasses a wide range of etiologies and clinical manifestations, which vary depending on the underlying cause and the patient's immune status. ","R035
R297",
SE207,A034,seizure,Not specified,Very rare,"A seizure is abnormal electrical activity in your brain. It causes changes in awareness and muscle control. It also causes symptoms that affect your behavior and senses. Seizures can affect anyone at any age and there are a lot of possible causes, from an underlying medical condition to an injury or illness. ","R035
R144",
SE208,A034,neuropathy peripheral,Not specified,Very rare,"Peripheral neuropathy refers to any condition that affects the nerves outside your brain or spinal cord. This can happen for several reasons, from trauma to infections to inherited conditions. ","R035
R298",
SE209,A034,ataxia,Not specified,Very rare,"Ataxia is when you have problems coordinating how your muscles work, leading to awkward, unwieldy or clumsy movements. It’s a possible symptom with a wide range of conditions or circumstances, or it can happen as a stand-alone condition.","R035
R299",
SE210,A034,diziness,Not specified,Very rare,"Dizziness is a common issue. If you have dizziness, you may feel woozy and disoriented. You may feel as if you’re about to lose your balance. Many things may make you dizzy, such as anxiety or a reaction to medication. But dizziness may be a symptom of an underlying medical issue. ","R035
R300",
SE211,A034,Vertigo,Not specified,Very rare,"Vertigo causes dizziness and makes you feel like you’re spinning when you’re not. It most commonly occurs when there’s an issue with your inner ear. But you can also develop it if you have a condition affecting your brain, like a tumor or stroke.","R035
R231",
