Indication ID,Antibiotic ID,Severity Type,Symptoms,Reference ID
I023,A003,Not Specified,"Symptoms of prostatitis can start suddenly with chills, fever, flushing of the skin, lower abdominal tenderness, and body aches, while chronic prostatitis presents with similar but milder symptoms that develop more slowly and may have symptom-free periods between episodes; urinary symptoms include blood in the urine, burning or pain during urination, difficulty starting urination or emptying the bladder, foul-smelling urine, and a weak urine stream, while other symptoms may include pain or aching in the lower abdomen above the pubic bone, lower back, perineum, or testicles, pain with ejaculation or blood in the semen, and pain during bowel movements, and in some cases may be associated with infection in or around the testicles (epididymitis).","R003
R293"
I025,A004,Mild,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R004
R294"
I025,A004,Moderate,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R004
R294"
I025,A004,Severe,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R004
R294"
I026,A004,Mild ,"Symptoms of chronic bronchitis may be mild or absent at first but typically worsen over time, and can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R004
R295"
I026,A004,Moderate,"Symptoms of chronic bronchitis can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R004
R295"
I026,A004,Severe,"Symptoms of chronic bronchitis can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R004
R295"
I027,A004,Mild ,"Symptoms of Pneumonia includes fever, chills, cough (usually with phlegm), shortness of breath, chest pain when you breathe or cough, nausea and/or vomiting, and diarrhea.","R004
R219"
I027,A004,Moderate,"Symptoms of Pneumonia includes fever, chills, cough (usually with phlegm), shortness of breath, chest pain when you breathe or cough, nausea and/or vomiting, and diarrhea.","R004
R219"
I027,A004,Severe,"Symptoms of Pneumonia includes fever, chills, cough (usually with phlegm), shortness of breath, chest pain when you breathe or cough, nausea and/or vomiting, and diarrhea.","R004
R219"
I029,A004,Mild to Moderate,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R004
R300"
I030,A004,Mild to Moderate,"Symptoms of Pyelonephritis include cloudy or bloody urine which may have a fould or strong odor, low grade fever in some people, pain or burning with urination, pressure or cramping in the lower abdomen or back, and strong need to urinate often even right after the bladd has been emptied. If the infection spread to your kidneys, symptoms may include chills and shaking, fatigue and generally ill feeling, fever above 38.3°C, pain (side, back, or groin), flushed, warmed, or reddened skin, confusion, nausea and vomiting, and sometime severe abdominal pain.","R004
R292"
I031,A004,Mild to Moderate,"Symptoms of prostatitis can start suddenly with chills, fever, flushing of the skin, lower abdominal tenderness, and body aches, while chronic prostatitis presents with similar but milder symptoms that develop more slowly and may have symptom-free periods between episodes; urinary symptoms include blood in the urine, burning or pain during urination, difficulty starting urination or emptying the bladder, foul-smelling urine, and a weak urine stream, while other symptoms may include pain or aching in the lower abdomen above the pubic bone, lower back, perineum, or testicles, pain with ejaculation or blood in the semen, and pain during bowel movements, and in some cases may be associated with infection in or around the testicles (epididymitis).","R004
R293"
I032,A004,Mild to Moderate,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R004
R300"
I033,A005,Mild,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R005
R294"
I033,A005,Moderate,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R005
R294"
I033,A005,Severe,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R005
R294"
I034,A005,Mild ,"Symptoms of chronic bronchitis may be mild or absent at first but typically worsen over time, and can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R005
R295"
I034,A005,Moderate,"Symptoms of chronic bronchitis can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R005
R295"
I034,A005,Severe,"Symptoms of chronic bronchitis can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R005
R295"
I035,A005,Mild,"Symptoms of Pneumonia includes fever, chills, cough (usually with phlegm), shortness of breath, chest pain when you breathe or cough, nausea and/or vomiting, and diarrhea.","R005
R219"
I035,A005,Moderate,"Symptoms of Pneumonia includes fever, chills, cough (usually with phlegm), shortness of breath, chest pain when you breathe or cough, nausea and/or vomiting, and diarrhea.","R005
R219"
I035,A005,Severe,"Symptoms of Pneumonia includes fever, chills, cough (usually with phlegm), shortness of breath, chest pain when you breathe or cough, nausea and/or vomiting, and diarrhea.","R005
R219"
I036,A005,Not Specified,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R005
R294"
I037,A005,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R005
R300"
I038,A005,Not Specified,"Symptoms of Pyelonephritis include cloudy or bloody urine which may have a fould or strong odor, low grade fever in some people, pain or burning with urination, pressure or cramping in the lower abdomen or back, and strong need to urinate often even right after the bladd has been emptied. If the infection spread to your kidneys, symptoms may include chills and shaking, fatigue and generally ill feeling, fever above 38.3°C, pain (side, back, or groin), flushed, warmed, or reddened skin, confusion, nausea and vomiting, and sometime severe abdominal pain.","R005
R292"
I039,A005,Not Specified,"Symptoms of prostatitis can start suddenly with chills, fever, flushing of the skin, lower abdominal tenderness, and body aches, while chronic prostatitis presents with similar but milder symptoms that develop more slowly and may have symptom-free periods between episodes; urinary symptoms include blood in the urine, burning or pain during urination, difficulty starting urination or emptying the bladder, foul-smelling urine, and a weak urine stream, while other symptoms may include pain or aching in the lower abdomen above the pubic bone, lower back, perineum, or testicles, pain with ejaculation or blood in the semen, and pain during bowel movements, and in some cases may be associated with infection in or around the testicles (epididymitis).","R005
R293"
I041,A006,Not Specified,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R006
R294"
I042,A006,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R006
R300"
I043,A007,Not Specified,"Symptoms of Pneumonia can range from mild to severe and include fever, chills, cough (usually with phlegm), shortness of breath, chest pain when you breathe or cough, nausea and/or vomiting, and diarrhea.","R007
R219"
I044,A007,Not Specified,"Symptoms of gonorrhea may not always be present; in men, it can cause pain when urinating and discharge from the penis, while in women, early symptoms are often mild but may include bleeding between periods, pain when urinating, and increased vaginal discharge.","R007
R296"
I045,A008,Mild to Moderate,"Symptoms of chronic bronchitis may be mild or absent at first but typically worsen over time, and can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R008
R295"
I046,A008,Not Specified,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R008
R294"
I048,A008,Mild to Moderate,"Symptoms of Pneumonia can range from mild to severe and include fever, chills, cough (usually with phlegm), shortness of breath, chest pain when you breathe or cough, nausea and/or vomiting, and diarrhea.","R008
R219"
I049,A008,Not Specified,"Symptoms of Pharyngitis is sore throat. Other symptoms may include fever, headache, joint pain and muscle aches, skin rashes, and swollen lymph nodes (glands) in the neck.","R008
R222"
I050,A008,Not Specified,"Symptoms of urethritis in men include blood in the urine or semen, burning pain while urinating (dysuria), discharge from the penis, fever (rare), frequent or urgent urination, itching, tenderness or swelling in the penis, enlarged lymph nodes in the groin area, and pain during intercourse or ejaculation. In women, symptoms may include abdominal pain, burning pain while urinating, fever and chills, frequent or urgent urination, pelvic pain, pain during intercourse, and vaginal discharge.","R008
R290"
I051,A008,Not Specified,"Symptoms of cervicitis may include abnormal vaginal bleeding after intercourse or between periods, unusual vaginal discharge that may be gray, white, or yellow in color, painful sexual intercourse, vaginal pain, pressure or heaviness in the pelvis, painful urination, and vaginal itching, although in some cases there may be no symptoms at all.","R008
R297"
I052,A009,Mild to Moderate,"Symptoms of Pneumonia can range from mild to severe and include fever, chills, cough (usually with phlegm), shortness of breath, chest pain when you breathe or cough, nausea and/or vomiting, and diarrhea.","R009
R219"
I053,A009,Not Specified,"Symptoms of chronic bronchitis may be mild or absent at first but typically worsen over time, and can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R009
R295"
I054,A009,Not Specified,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R009
R294"
I055,A009,Not Specified,"Symptoms of tonsillitis include a sore throat that may be severe, red and swollen tonsils, difficulty swallowing, a white or yellow coating on the tonsils, swollen glands in the neck, fever, and bad breath.","R009
R298"
I056,A009,Not Specified,"Symptoms of Pharyngitis is sore throat. Other symptoms may include fever, headache, joint pain and muscle aches, skin rashes, and swollen lymph nodes (glands) in the neck.","R009
R222"
I057,A009,Not Specified,"Symptoms of acute otitis media vary by age. In infants, the main signs may include irritability or inconsolable crying, fever, and trouble sleeping, while in older children and adults symptoms can include ear pain, fullness in the ear, general feeling of illness, nasal congestion, cough, lethargy, vomiting, diarrhea, hearing loss in the affected ear, drainage of fluid from the ear, and loss of appetite.","R009
R299"
I059,A010,Not Specified,"Symptoms of lower respiratory tract infection (such as RSV infection) include runny nose, decreased appetite, cough, sneezing, fever, and wheezing.","R010
R318"
I060,A010,Not Specified,"Symptoms of acute otitis media vary by age. In infants, the main signs may include irritability or inconsolable crying, fever, and trouble sleeping, while in older children and adults symptoms can include ear pain, fullness in the ear, general feeling of illness, nasal congestion, cough, lethargy, vomiting, diarrhea, hearing loss in the affected ear, drainage of fluid from the ear, and loss of appetite.","R010
R299"
I061,A010,Mild to Moderate,"Symptoms of urethritis in men include blood in the urine or semen, burning pain while urinating (dysuria), discharge from the penis, fever (rare), frequent or urgent urination, itching, tenderness or swelling in the penis, enlarged lymph nodes in the groin area, and pain during intercourse or ejaculation. In women, symptoms may include abdominal pain, burning pain while urinating, fever and chills, frequent or urgent urination, pelvic pain, pain during intercourse, and vaginal discharge.","R010
R290"
I062,A010,Mild,"Symptoms of cervicitis may include abnormal vaginal bleeding after intercourse or between periods, unusual vaginal discharge that may be gray, white, or yellow in color, painful sexual intercourse, vaginal pain, pressure or heaviness in the pelvis, painful urination, and vaginal itching, although in some cases there may be no symptoms at all.","R010
R297"
I063,A011,Not Specified,"Symptoms of upper respiratory tract infection include sneezing, a stuffy or congested nose, runny nose, sore throat, coughing, and headache.","R011
R317"
I064,A011,Not Specified,"Symptoms of lower respiratory tract infection (such as RSV infection) include runny nose, decreased appetite, cough, sneezing, fever, and wheezing.","R011
R318"
I065,A011,Not Specified,"Symptoms of acute otitis media vary by age. In infants, the main signs may include irritability or inconsolable crying, fever, and trouble sleeping, while in older children and adults symptoms can include ear pain, fullness in the ear, general feeling of illness, nasal congestion, cough, lethargy, vomiting, diarrhea, hearing loss in the affected ear, drainage of fluid from the ear, and loss of appetite.","R011
R299"
I066,A011,Not Specified,"Symptoms of Cystitis include cloudy or bloody urine, strong or foul-smelling urine, low fever (most people will not have a fever), pain or burning with urination, pressure or cramping in the lower middle abdomen or back, and strong need to urinate often, even right after the bladder has been emptied. ","R011
R291"
I067,A011,Not Specified,"Symptoms of Pyelonephritis include cloudy or bloody urine which may have a fould or strong odor, low grade fever in some people, pain or burning with urination, pressure or cramping in the lower abdomen or back, and strong need to urinate often even right after the bladd has been emptied. If the infection spread to your kidneys, symptoms may include chills and shaking, fatigue and generally ill feeling, fever above 38.3°C, pain (side, back, or groin), flushed, warmed, or reddened skin, confusion, nausea and vomiting, and sometime severe abdominal pain.","R011
R292"
I068,A011,Not Specified,"Symptoms of asymptomatic bacteriuria include no symptoms at all; however, burning during urination, increased urgency to urinate, and increased frequency of urination are not present in this condition and instead suggest a urinary tract infection.","R011
R310"
I071,A012,Not Specified,"Symptoms of acute ear infection include irritability or inconsolable crying in infants, fever, trouble sleeping, and ear tugging (not always present), while in older children and adults symptoms may include ear pain, fullness in the ear, general feeling of illness, nasal congestion, cough, lethargy, vomiting, diarrhea, hearing loss in the affected ear, drainage of fluid from the ear, and loss of appetite, and in some cases sudden yellow or green ear discharge may indicate a ruptured eardrum.","R012
R299"
I072,A012,Not Specified,"Symptoms of acute otitis media vary by age. In infants, the main signs may include irritability or inconsolable crying, fever, and trouble sleeping, while in older children and adults symptoms can include ear pain, fullness in the ear, general feeling of illness, nasal congestion, cough, lethargy, vomiting, diarrhea, hearing loss in the affected ear, drainage of fluid from the ear, and loss of appetite.","R012
R299"
I073,A012,Not Specified,"Symptoms of lower respiratory tract infection (such as RSV infection) include runny nose, decreased appetite, cough, sneezing, fever, and wheezing.","R012
R318"
I074,A012,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R012
R300"
I075,A013,Not Specified,"Symptoms of upper respiratory tract infection include sneezing, a stuffy or congested nose, runny nose, sore throat, coughing, and headache.","R013
R317"
I076,A013,Not Specified,"Symptoms of acute otitis media vary by age. In infants, the main signs may include irritability or inconsolable crying, fever, and trouble sleeping, while in older children and adults symptoms can include ear pain, fullness in the ear, general feeling of illness, nasal congestion, cough, lethargy, vomiting, diarrhea, hearing loss in the affected ear, drainage of fluid from the ear, and loss of appetite.","R013
R299"
I077,A013,Not Specified,"Symptoms of lower respiratory tract infection (such as RSV infection) include runny nose, decreased appetite, cough, sneezing, fever, and wheezing.","R013
R318"
I078,A013,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R013
R300"
I079,A014,Not Specified,"Symptoms of Pharyngitis is sore throat. Other symptoms may include fever, headache, joint pain and muscle aches, skin rashes, and swollen lymph nodes (glands) in the neck.","R014
R222"
I080,A014,Not Specified,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R014
R294"
I081,A014,Not Specified,"Symptoms of chronic bronchitis may be mild or absent at first but typically worsen over time, and can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R014
R295"
I082,A014,Not Specified,"Symptoms of Pneumonia can range from mild to severe and include fever, chills, cough (usually with phlegm), shortness of breath, chest pain when you breathe or cough, nausea and/or vomiting, and diarrhea.","R014
R219"
I083,A014,Not Specified,"Symptoms of acute otitis media vary by age. In infants, the main signs may include irritability or inconsolable crying, fever, and trouble sleeping, while in older children and adults symptoms can include ear pain, fullness in the ear, general feeling of illness, nasal congestion, cough, lethargy, vomiting, diarrhea, hearing loss in the affected ear, drainage of fluid from the ear, and loss of appetite.","R014
R299"
I084,A015,Not Specified,"Symptoms of acute bronchitis include chest discomfort, a cough that produces mucus (which may be clear or yellow-green), fatigue, low-grade fever, shortness of breath that worsens with activity, and wheezing in people with asthma. After the infection clears, a dry, nagging cough may persist for 1 to 4 weeks.","R015
R303"
I085,A015,Not Specified,"Symptoms of chronic bronchitis may be mild or absent at first but typically worsen over time, and can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R015
R295"
I086,A015,Not Specified,"Symptoms of Pneumonia can range from mild to severe and include fever, chills, cough (usually with phlegm), shortness of breath, chest pain when you breathe or cough, nausea and/or vomiting, and diarrhea.","R015
R219"
I087,A015,Not Specified,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R015
R294"
I088,A015,Not Specified,"Symptoms of Pharyngitis is sore throat. Other symptoms may include fever, headache, joint pain and muscle aches, skin rashes, and swollen lymph nodes (glands) in the neck.","R015
R222"
I089,A015,Not Specified,,R015
I090,A015,Not Specified,"Symptoms of Legionella pneumophila infection (Legionnaires’ disease) usually appear 2 to 14 days after exposure and include cough, high fever, chills, headache, chest pain, shortness of breath, fatigue, nausea and vomiting, diarrhea, and confusion.","R015
R301"
I091,A015,Not Specified,"Symptoms of Bordetella pertussis infection (whooping cough) usually occur in three stages. In the first stage, symptoms are similar to a common cold and may include a runny nose, mild fever, mild cough, and in infants, pauses in breathing (apnea). In the second stage, symptoms become more severe and include intense coughing fits followed by a high-pitched “whoop” sound, vomiting after coughing, and extreme fatigue after coughing episodes. In the third stage, the symptoms begin to improve, with a milder and less frequent cough during recovery.","R015
R304"
I092,A015,Not Specified,"Symptoms of Mycoplasma Pneumonia are often mild and appear over 1 to 3 weeks. They may become more severe in some people. Common symptoms include any of the following: chest pain, chills, cough (usually dry and not bloody), excessive sweating, fever (may be high), headache, and sore throat. Lesson common symptoms include ear pain, soreness, muscle aches and joint stiffness, neck lump, rapid breathing, and rash.","R015
R287"
I094,A015,Not Specified,"Symptoms of Chlamydia trachomatis infection often do not appear, so many people may not realize they are infected. When symptoms do occur, they may appear several weeks after exposure. In women, symptoms can include abnormal vaginal discharge that may have a strong smell, a burning sensation when urinating, and if the infection spreads, lower abdominal pain, pain during sex, nausea, and fever. In men, symptoms may include discharge from the penis, a burning sensation when urinating, and pain or swelling in one or both testicles (less common). If the infection affects the rectum, it can cause rectal pain, discharge, and bleeding in both men and women.","R015
R305"
I095,A015,Not Specified,"Symptoms of Mycobacterium avium complex (MAC) infection are not specifically listed in the text, but it is described as a type of lung infection that often affects people with HIV.","R015
R314"
I096,A015,Not Specified,"Symptoms of Mycobacterium leprae infection include skin lesions or damaged skin areas, loss of sensation in affected areas, nerve damage causing numbness (especially in the hands and feet), muscle weakness, and in severe cases vision problems, nasal tissue damage, and shortening or loss of fingers or toes, with some patients also experiencing fever and painful nodules during reaction episodes.","R015
R306"
I097,A015,Not Specified,"Symptoms of Campylobacter infection typically start 2 to 4 days after exposure and may last about a week, and include cramping abdominal pain, fever, nausea and vomiting, and watery diarrhea that may sometimes be bloody.","R015
R307"
I098,A015,Not Specified,"Symptoms of gonorrhea may not always be present; in men, it can cause pain when urinating and discharge from the penis, while in women, early symptoms are often mild but may include bleeding between periods, pain when urinating, and increased vaginal discharge.","R015
R296"
I100,A015,Not Specified,"Symptoms of Streptococcus infection depend on the type and may include a sore, red throat with swollen tonsils and white spots (strep throat), a red rash on the body (scarlet fever), skin infection (impetigo), and in more severe cases blood infections, pneumonia, meningitis, and urinary tract infections.","R015
R313"
I101,A015,Not Specified,"Symptoms of Methicillin-resistant Staphylococcus aureus (MRSA) include a red, swollen, and painful area on the skin that may drain pus or other fluids and look like a boil, especially where the skin has been cut or rubbed, and in more severe infections (often in health care settings) symptoms may include chest pain, cough or shortness of breath, fatigue, fever and chills, general ill feeling, headache, rash, and wounds that do not heal.","R015
R308"
I102,A015,Not Specified,"Symptoms of soft tissue infection may include a small, red, painful lump or bump on the skin that spreads, a rapidly enlarging bruise-like area that may develop within an hour, a center that becomes dark, dusky, and then black as the tissue dies, and skin that may break open and ooze fluid. Other symptoms may include feeling ill, fever, sweating, chills, nausea, dizziness, weakness, and shock.","R015
R315"
I103,A015,Not Specified,"Symptoms of duodenal ulcer include a burning stomach pain that often starts between meals or during the night, may briefly improve after eating or taking antacids, lasts for minutes to hours, and can come and go for several days or weeks.","R015
R316"
